genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_ms,popularity,count
tamil dance,0.6284615384615384,0.575,6.230769230769231,-8.167846153846154,0.46153846153846156,0.0833076923076923,0.4587538461538462,0.07261791384615385,0.22308461538461538,0.5673846153846154,114.61353846153845,3.769230769230769,250819.76923076922,59.07692307692308,13
j-rock,0.5399166666666667,0.7168333333333333,5.416666666666667,-5.001333333333333,0.75,0.06978333333333334,0.24460609999999997,0.06607433166666667,0.2311,0.5318333333333333,120.86516666666667,4.0,232888.41666666666,61.916666666666664,12
edm,0.537,0.7941818181818182,5.545454545454546,-5.481818181818182,0.5454545454545454,0.05495454545454546,0.13414636363636365,0.1109717481818182,0.1937,0.23573636363636366,126.30190909090908,4.0,193251.81818181818,59.54545454545455,11
funk bruxaria,0.7449,0.8347999999999999,6.4,-4.7132000000000005,0.4,0.09171,0.23777999999999996,0.139224449,0.2051,0.538,135.6334,4.0,108759.9,66.9,10
malayalam pop,0.46840000000000004,0.4545,4.2,-9.2049,1.0,0.04761,0.7017,0.11855412000000001,0.13788,0.356,133.3864,3.7,200816.7,46.4,10
kannada pop,0.553,0.5606,5.9,-8.291599999999999,0.8,0.0733,0.42408999999999997,0.006808169,0.20950000000000002,0.4629,124.0364,4.0,224053.2,49.5,10
uk garage,0.69775,0.85125,6.5,-5.381,0.125,0.21413749999999998,0.012068625,0.025782415,0.2651625,0.23225,134.832875,4.125,193075.5,52.25,8
mollywood,0.427125,0.413875,4.375,-9.734375,1.0,0.0458875,0.7135,0.14816338750000002,0.109775,0.293625,134.256,3.625,211576.125,53.875,8
stutter house,0.723125,0.798,5.5,-6.445875,0.375,0.1892875,0.06319175,0.1748766625,0.2046625,0.28775,130.01425,4.0,196569.25,52.0,8
telugu pop,0.5235,0.6033999999999999,5.125,-9.219000000000001,0.625,0.0790875,0.4103875,0.22785155625,0.129075,0.501875,105.27324999999999,3.75,242268.625,47.5,8
funk carioca,0.768625,0.8226249999999999,7.125,-3.670875,0.5,0.0922375,0.3136,0.3345728625,0.2395,0.598,144.81625,4.0,110881.75,68.75,8
brega funk,0.760625,0.91525,7.75,-1.950125,0.25,0.09013750000000001,0.22693750000000001,0.2020746,0.275,0.5162625,140.68824999999998,4.0,99831.875,70.375,8
bhangra,0.6777142857142857,0.7448571428571429,5.142857142857143,-6.923285714285714,0.42857142857142855,0.09545714285714287,0.16695985714285713,0.00041387714285714283,0.19034285714285715,0.4532,122.80628571428572,4.0,246126.7142857143,63.714285714285715,7
sandalwood,0.6062857142857142,0.596,6.0,-8.266857142857143,0.7142857142857143,0.08147142857142857,0.3508428571428572,0.00894117,0.23314285714285715,0.4991428571428571,118.72214285714286,4.0,234711.85714285713,50.714285714285715,7
tamil hip hop,0.635,0.6177142857142857,8.714285714285714,-7.280857142857142,0.42857142857142855,0.14502857142857145,0.4048285714285714,0.14500040428571428,0.18215714285714285,0.5484285714285714,116.60114285714285,3.7142857142857144,201537.0,63.57142857142857,7
japanese indie,0.6774285714285714,0.5815714285714285,3.7142857142857144,-7.314857142857143,0.8571428571428571,0.07814285714285715,0.3713285714285714,0.11314891857142859,0.1994,0.6758571428571428,112.847,4.0,234240.2857142857,55.714285714285715,7
malayalam hip hop,0.6711666666666667,0.49016666666666664,6.666666666666667,-9.336,0.6666666666666666,0.061983333333333335,0.5768333333333334,0.15205606666666668,0.16555,0.3531666666666667,110.9885,4.0,220205.16666666666,50.666666666666664,6
rally house,0.7721666666666667,0.8195,5.5,-5.206333333333333,0.16666666666666666,0.1741,0.09019333333333333,0.111834,0.2606833333333333,0.527,136.689,4.0,126086.83333333333,62.333333333333336,6
slap house,0.6088,0.8298,3.4,-5.0474000000000006,0.6,0.06648,0.21187999999999999,0.014546742000000001,0.14772000000000002,0.42940000000000006,139.134,4.0,152293.0,63.6,5
folk,0.5512,0.717,5.4,-5.8338,1.0,0.08634,0.49000000000000005,1.0484e-05,0.1296,0.6202,120.99360000000001,3.8,254014.8,16.8,5
progressive house,0.5192,0.7934,4.0,-6.593000000000001,0.8,0.0671,0.22007,0.220898306,0.23632,0.2002,127.41599999999998,4.0,219862.0,65.0,5
bassline,0.6935,0.886,5.75,-5.4745,0.0,0.298925,0.01194,0.007836505,0.290775,0.24125,147.93900000000002,4.25,182325.5,57.25,4
bhojpuri pop,0.6265000000000001,0.64975,7.0,-5.60025,0.75,0.17709999999999998,0.213475,0.05963745,0.08015,0.55825,122.95325,4.0,275582.75,21.25,4
